X Field,X轴字段
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1}不能为“{2}”。只能是“{3}”其中一个
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} {1}不能大于生产订单{3}的计划数量({2})
{0} {1} cannot be a leaf node as it has children,{0} {1}不能是一个叶节点，因为它有下级
{0} {1} is not associated with {2} {3},{0} {1}与{2} {3}无关
"{0} {1} is associated with {2}, but Party Account is {3}",{0} {1}与{2}相关联，但业务伙伴科目为{3}
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}在{2}会计分录只能用货币单位：{3}
{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,{0} {1}在需要{2}在{3} {4}：{5}来完成这一交易单位。
{0} {1} has not been submitted so the action cannot be completed,{0} {1}尚未提交，因此无法完成此操作
{0} {1} is disabled,{0} {1}已禁用
{0} {1} is frozen,{0} {1}已冻结
{0} {1} is fully billed,{0} {1}已完全开票
{0} {1} already exists,{0} {1}已经存在
{0} {1} has been modified. Please refresh.,{0} {1}已被修改过，请刷新。
{0} {1} is cancelled so the action cannot be completed,{0} {1}已被取消，因此操作无法完成
{0} {1} must be submitted,{0} {1}必须提交
{0} {1} is {2},{0} {1}是{2}
{0} {1} not found,{0} {1}未找到
{0} {1} is not submitted,{0} {1}未提交
Assignment for {0} {1},{0} {1}的分派
{0} {1} status is {2},{0} {1}的状态为{2}
{0} {1}: Account {2} does not belong to Company {3},{0} {1}科目{2}不属于公司{3}
{0} {1}: Account {2} cannot be a Group,{0} {1}科目{2}不能是一个组
{0} {1} is cancelled or stopped,{0} {1}被取消或停止
{0} {1} is cancelled or closed,{0} {1}被取消或关闭
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}：“损益”科目类型{2}不允许开账凭证
{0} {1}: Either debit or credit amount is required for {2},{0} {1}：借方或贷方金额是必输的{2}
{0} {1}: Customer is required against Receivable account {2},{0} {1}：应收账款科目{2}客户信息必填
{0} {1}: Supplier is required against Payable account {2},{0} {1}：应付账款科目{2}供应商信息必填
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}：成本中心{2}不属于公司{3}
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}：成本中心是物料{2}的必须项
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}：损益类科目分录中成本中心信息必填{2}。请为公司设置一个默认成本中心。
{0} {1}: Submitted Record cannot be deleted.,{0} {1}：提交记录不能被删除。
To {0} | {1} {2},{0} | {1} {2}
{0} is not a valid Email Address,{0} 不是有效的邮箱地址
{0} from {1} to {2},{0} 从 {1} 变更为 {2}
{0} Dashboard,{0} 数据面板
{0} m,{0} 分
{0}m,{0} 分
{0} d,{0} 天
{0}d,{0} 天
{0} w,{0} 周
{0}w,{0} 周
{0}h,{0} 小时
{0}	h,{0} 小时
{0} hours ago,{0} 小时前
{0} has been successfully added to the Email Group.,{0} 已经被成功的加入到邮件组之中。
{0} added,{0} 成功添加
{0} M,{0} 月
{0}M,{0} 月
Insufficient Permission for {0},{0} 权限不足
{0} by {1},{0} 来自于 {1}
{0} Tree,{0} 树
{0} logged out: {1},{0} 登出: {1}
{0} rows for {1},{0} 行 {1}
{0} Feedback Request,{0} 请求反馈
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} 账户{1}对于{2}{3}的预算是{4}. 预期增加{5}
{0}: Cannot set import as {1} is not importable,{0} ：{1}无法导入所以不能设置“导入”
{0}: No basic permissions set,{0} ：基本权限未设置
{0}: Permission at level 0 must be set before higher levels are set,{0} ：更高级别的权限设置前请先设置0级权限
{0}: Cannot set Import without Create,{0} ：没有“创建”的情况下不能分派“导入”
{0}: Cannot set Amend without Cancel,{0} ：没有“取消”的情况下不能设置“修订”
{0}: Cannot set Assign Amend if not Submittable,{0} ：没有“提交”的情况下不能分派“修订”
{0}: Cannot set Cancel without Submit,{0} ：没有“提交”的情况下不能分派“取消”
{0}: Cannot set Assign Submit if not Submittable,{0} ：没有“提交”的情况下不能分派“提交”
"{0}: Cannot set Submit, Cancel, Amend without Write",{0} ：没有写入的情况下不能设置“提交”，“取消”，“修订”
{0} '{1}' not in Fiscal Year {2},{0}“ {1}”不属于{2}财年
{0} '{1}' is disabled,{0}“{1}”已禁用
{0} not allowed to be renamed,{0}不允许改名
{0} against Purchase Order {1},{0}不允许采购订单{1}
{0} against Sales Invoice {1},{0}不允许销售发票{1}
{0} against Sales Order {1},{0}不允许销售订单{1}
{0} is not in a valid Payroll Period,{0}不在有效的工资核算期间
{0} is not in Optional Holiday List,{0}不在选休假假期表中
{0} does not exist in row {1},{0}不存在于第{1}行中
{0} does not belong to Company {1},{0}不属于公司{1}
{0} is not a stock Item,{0}不是库存物料
{0} is not a raw printing format.,{0}不是原生打印命令格式。
{0} not a valid State,{0}不是有效状态
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0}不是有效的工作流状态。请更新您的工作流，然后重试。
{0} is not a valid Batch Number for Item {1},{0}不是物料{1}的有效批号
{0} can not be negative,{0}不能为负
Value for {0} cannot be a list,{0}不能是列表值
Field type cannot be changed for {0},{0}不能更改字段类型
{0} cannot be set for Single types,{0}不能设置为单例类型
{0} months ago,{0}个月前
No records present in {0},{0}中没有记录
{0} payment entries can not be filtered by {1},{0}收付款凭证不能由{1}过滤
{0} criticized your work on {1} with {2} points,{0}以{2}分批评你在{1}上的工作
{0} criticized your work on {1} with {2} point,{0}以{2}点批评了您在{1}上的工作
{0} Dashboard,{0}数据面板
{0} on Leave on {1},{0}休假日期{1}
{0} to stop receiving emails of this type,{0}停止接收此类邮件
Assignment closed by {0},{0}关闭了待办
{0} un-shared this document with {1},{0}关闭了此单据对{1}的分享
{0} self assigned this task: {1},{0}分派了待办给自己：{1}
{0} minutes ago,{0}分钟前
{0} minutes ago,{0}分钟前
{0} List,{0}列表
{0} created this {1},{0} 创建了 {1}
{0} to {1},{0}到{1}
{0} parameter is invalid,{0}参数无效
{0} must appear only once,{0}只能出现一次
{0} available out of {1},{0}可用于{1}
{0} Number {1} already used in account {2},{0}号码{1}已经在账号{2}中使用
merged {0} into {1},{0}合并为{1}
{0} Name,{0}编号(名称)
{0} shared this document with {1},{0}向{1}分享了此单据
{0} weeks ago,{0}周前
{0} and {1},{0}和{1}
There is no leave period in between {0} and {1},{0}和{1}之间没有休假期限
Overlap in scoring between {0} and {1},{0}和{1}之间的得分重叠
Liked by {0},{0}喜欢
{0} Chart,{0}图表
{0} reverted your point on {1},{0}在{1}上撤销了你的能量点
{0} mentioned you in a comment in {1},{0}在留言中提到你{1}
{0} mentioned you in a comment,{0}在评论中提到你
{0} must be negative in return document,{0}在退货凭证中必须为负
{0} days ago,{0}天前
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",{0}字段不能在{1}中设置为唯一，因为这里存在非唯一的数值
{0} field is limited to size {1},{0}字段的大小限制为{1}
{0} Students have been enrolled,{0}学生已注册
{0} criticism point for {1} {2},{0}对{1} {2}的批评点
{0} criticism points for {1} {2},{0}对{1} {2}的批评点
{0} against Bill {1} dated {2},{0}对日期为{2}的发票{1}
{0} shared this document with everyone,{0}将本单据分享给了所有人
{0} hours,{0}小时
{0} hours ago,{0}小时前
{0} has already assigned default value for {1}.,{0}已为{1}分派了默认值。
{0} is saved,{0}已保存
{0} assigned {1}: {2},{0}已分派{1}：{2}
{0} already allocated for Employee {1} for period {2} to {3},{0}已分配给员工{1}的时期{2}到{3}
{0} created,{0}已创建
{0} Published,{0}已发布
{0} already exists. Select another name,{0}已存在。选择其他名称
{0} changed {1} to {2},{0}已将{1}更改为{2}
{0} saved successfully,{0}已成功保存
{0} created successfully,{0}已成功创建
{0} has been submitted successfully,{0}已成功提交
{0} reverted {1},{0}已撤销{1}
{0} updated,{0}已更新
{0} already has a Parent Procedure {1}.,{0}已有父程序{1}。
{0} logged in,{0}已登录
{0} has left the conversation in {1} {2},{0}已经离开对话{1} {2}
{0} already unsubscribed,{0}已经退订
{0} already unsubscribed for {1} {2},{0}已经退订了{1} {2}
{0} should be a value between 0 and 100,{0}应该是0到100之间的一个值
"{0} must begin and end with a letter and can only contain letters,				hyphen or underscore.",{0}必须以字母开头和结尾，并且只能包含字母，连字符或下划线。
{0} must be submitted,{0}必须先提交
{0} must be after {1},{0}必须在{1}之后
{0} must be one of {1},{0}必须属于{1}
{0} must be unique,{0}必须是唯一的
{0} must be set first,{0}必须首先设置
{0} or {1},{0}或{1}
{0} criticized on {1},{0}批评{1}
{0} criticized {1},{0}批评{1}
{0} Report,{0}报表
Qty for {0},{0} 数量
{0} subscribers added,{0}新增用户
Invalid {0}! The check digit validation has failed. ,{0}无效！校验位验证失败。
{0} Calendar,{0}日历
{0} is mandatory for Item {1},{0}是{1}的必填项
{0} is an invalid email address in 'Recipients',{0}是“收件人”中的无效电子邮件地址
"Item {0} is a template, please select one of its variants",{0}是一个模板物料，请选择具体的实物粒号
{0} is a company holiday,{0}是公司假期
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0}是强制性的。可能没有为{1}到{2}创建货币兑换记录
{0} is a mandatory field,{0}是必填字段
{0} is mandatory,{0}是必填项
{0} is required,{0}是必填项
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0}是必填项。{1}和{2}的货币转换记录可能还未生成。
"{0} is mandatory for generating remittance payments, set the field and try again",{0}是生成汇款付款的必填项，请设置该字段并重试
{0} has fee validity till {1},{0}有效期至{1}
{0} not found,{0}未找到
{0} is not the default supplier for any items.,{0}未被设置为任一物料的的默认供应商。
Invalid {0} condition,{0}条件无效
{0} comments,{0}条评论
{0} Modules,{0}模块
{0} are currently viewing this document,{0}正在查看该单据
{0} is currently viewing this document,{0}正在查看该单据
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0}没有医生时间表。将其添加到Healthcare Practitioner master中
{0} Settings not found,{0}没有找到设置
Missing Currency Exchange Rates for {0},{0}没有货币汇率
{0} appreciated on {1},{0}点赞{1}
{0} items produced,{0}物料已完工
{0} items in progress,{0}物料生产中
{0} is now default print format for {1} doctype,{0}现在是{1}类型的默认打印格式
{0} Student Groups created.,{0}班级已创建
{0} appreciated your work on {1} with {2} points,{0}用{2}能量点点赞了您在{1}上的工作
{0} Request for {1},{0}申请{1}
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item",{0}留样基于批号，请检查物料主数据是否设置 启用批号管理
Name of {0} cannot be {1},{0}的名称不能为{1}
Work Summary for {0},{0}的工作摘要
Sum of {0},{0}的总和
Slots for {0} are not added to the schedule,{0}的时间段未添加到计划中
Max exemption amount for {0} is {1},{0}的最大免除金额为{1}
Maximum benefit amount of component {0} exceeds {1},{0}的最大福利金额超过{1}
Incoming call from {0},{0}的来电
Daily Project Summary for {0},{0}的每日项目摘要
Birthday Reminder for {0},{0}的生日提醒
Account Type for {0} must be {1},{0}的科目类型必须为{1}
Project Summary for {0},{0}的项目摘要
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0}当前的供应商记分卡评级为{1}，请谨慎向该供应商询价。
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.",{0} 当前的供应商记分卡评级为{1}，请谨慎下单给该供应商。
{0} seconds ago,{0}秒钟前
Hotel Rooms of type {0} are unavailable on {1},{0}类型的酒店客房不适用于{1}
{0} Result submittted,{0}结果提交
{0} Digest,{0}统计信息
{0} edited this {1},{0}编辑了{1}
{0} room must have atmost one user.,{0}聊天室必须至少有一个用户。
"{0} indicates that {1} will not provide a quotation, but all items \					have been quoted. Updating the RFQ quote status.",{0}表示{1}不会提供报价，但所有物料都已报价。更新询价状态。
{0} is on hold till {1},{0}被冻结至{1}
{0} is blocked so this transaction cannot proceed,{0}被冻结，所以此交易无法继续
{0} record deleted,{0}记录已删除
{0} asset cannot be transferred,{0}资产不得转移
{0} entered twice in Item Tax,{0}输入了两次税项
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?",{0}重叠的工时表，是否要在滑动重叠的插槽后继续？
Reference No & Reference Date is required for {0},{0}需要参考编号与参考日期
Illegal Document Status for {0},{0}非法单据状态
{0}% Delivered,{0}％已出库
{0}% Complete,{0}％已完成
{0}% Billed,{0}％已开票
{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0}（{1}）不能大于生产工单{3}中的计划数量（{2}）
"On {0}, {1} wrote:",{0}，{1}写道：
"For {0}, only credit accounts can be linked against another debit entry",{0}，借方科目的对销分录只能是贷方科目
"{0}, Row {1}",{0}，第{1}行
{0}: {1} does not exists,{0}：{1}不存在
{0}: {1} in {2},{0}：{1}在{2}
{0}: {1} not found in Invoice Details table,{0}：{1}在发票信息表中无法找到
{0}: {1} must be less than {2},{0}：{1}必须小于{2}
{0}: {1} is set to state {2},{0}：{1} 状态已变更为 {2}
{0}: Fieldtype {1} for {2} cannot be unique,{0}：{2}的字段类型{1}不能是唯一的
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}",{0}：“{1}”（{3}）将被截断，因最大允许字符数为{2}
"{0}: Only one rule allowed with the same Role, Level and {1}",{0}：具有相同的角色，级别和允许只有一个规则{1}
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,{0}：字段“{1}”无法设置为“唯一”，因为它具有非唯一值
{0}: Fieldname {1} appears multiple times in rows {2},{0}：字段名{1}在行{2}中多次出现
{0}:Fieldtype {1} for {2} cannot be indexed,{0}：无法为{2}的字段类型{1}生成索引
"{0}: Employee email not found, hence email not sent",{0}：未设置员工电子邮箱，未发电子邮件通知
{0}: From {1},{0}：来自{1}
{0}: From {0} of type {1},{0}：申请者{0} 休假类型{1}
{0}: Field {1} of type {2} cannot be mandatory,{0}：类型{2}的字段{1}不能是必需的
{0}: Field {1} in row {2} cannot be hidden and mandatory without default,{0}：行{2}中的字段{1}无法隐藏，并且在没有默认情况下是必需的
{0}: Options required for Link or Table type field {1} in row {2},{0}：请为第{2}行中的链接或表类型字段{1}维护选项信息
{0}: Options {1} must be the same as doctype name {2} for the field {3},{0}：选项{1}必须与字段{3}的单据类型名称{2}相同
{0}: Options must be a valid DocType for field {1} in row {2},{0}：选项必须是行{2}中字段{1}的有效DocType
Healthcare Practitioner {0} not available on {1},{1}上没有医疗从业者{0}
A {0} exists between {1} and {2} (,{1}和{2}之间存在{0}（
Quarter {0} {1},{1} {0}季度
Week {0} {1},{1} 第{0}周
Employee {0} of grade {1} have no default leave policy,{1}职级员工{0}没有默认休假政策
{0} in row {1},{1}行中的{0}
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,{1}请为第{0}行的物料{2}指定序列号。你已经提供{3}。
{app_title},{app_title}
Direct room with {other} already exists.,{other}的直接客房已经存在。
{type} room must have atmost one user.,{type}空间必须有至多一个用户。
{mmm} {yyyy},{yyyy} {mmm} 
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}}是不是一个有效的字段名模式。它应该是{{FIELD_NAME}}。
{} of {},{} {}
{} is an invalid Attendance Status.,{}是无效的出勤状态。
{} is required to generate e-Way Bill JSON,{}需要生成e-Way Bill JSON
N,ñ
'Days Since Last Order' must be greater than or equal to zero,“ 最后的订单到目前的天数”必须大于或等于零
The 'From Package No.' field must neither be empty nor it's value less than 1.,“From Package No.”字段不能为空，也不能小于1。
"Invalid ""depends_on"" expression",“depends_on”表达式无效
"""Parent"" signifies the parent table in which this row must be added",“parent”表示本条记录必须依赖添加的父表
"""Company History""",“公司历史”
'Entries' cannot be empty,“分录”不能为空
Default for 'Check' type of field must be either '0' or '1',“勾选”字段类型的默认值必须是'0'或'1'
"""Team Members"" or ""Management""",“团队成员”或“管理”
'Actual Start Date' can not be greater than 'Actual End Date',“实际开始日期”不能大于“实际结束日期'
"""Customer Provided Item"" cannot be Purchase Item also",“受托加工材料”不能设置为允许采购
"""Customer Provided Item"" cannot have Valuation Rate",“受托加工材料”不允许有成本价
'From Date' must be after 'To Date',“开始日期”必须早于'终止日期'
'From Date' is required,“开始日期”是必需的
'Based On' and 'Group By' can not be same,“根据”和“分组依据”不能相同
Cash or Bank Account is mandatory for making payment entry,“现金”或“银行账户”是付款分录的必须项
'To Date' is required,“结束日期”必需设置
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",“至值”为0或为空的运输规则条件最多只能有一个
